Pokedex Number,Name,Type 1,Type 2,Abilities,Classfication,Height m,Weight kg,Male %,Generation,HP,Attack,Defense,Special Attack,Special Defense,Speed
47,Parasect,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",Mushroom Pokémon,1,29.5,50,1,60,95,80,60,80,30
48,Venonat,bug,poison,"['Compoundeyes', 'Tinted Lens', 'Run Away']",Insect Pokémon,1,30,50,1,60,55,50,40,55,45
49,Venomoth,bug,poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",Poison Moth Pokémon,1.5,12.5,50,1,70,65,60,90,75,90
50,Diglett,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Mole Pokémon,,,50,1,10,55,30,35,45,90
51,Dugtrio,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Mole Pokémon,,,50,1,35,100,60,50,70,110
52,Meowth,normal,dark,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",Scratch Cat Pokémon,,,50,1,40,35,35,50,40,90
53,Persian,normal,dark,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",Classy Cat Pokémon,,,50,1,65,60,60,75,65,115
54,Psyduck,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",Duck Pokémon,0.8,19.6,50,1,50,52,48,65,50,55
55,Golduck,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",Duck Pokémon,1.7,76.6,50,1,80,82,78,95,80,85
56,Mankey,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",Pig Monkey Pokémon,0.5,28,50,1,40,80,35,35,45,70
57,Primeape,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",Pig Monkey Pokémon,1,32,50,1,65,105,60,60,70,95
58,Growlithe,fire,,"['Intimidate', 'Flash Fire', 'Justified']",Puppy Pokémon,0.7,19,75.4,1,55,70,45,70,50,60
59,Arcanine,fire,,"['Intimidate', 'Flash Fire', 'Justified']",Legendary Pokémon,1.9,155,75.4,1,90,110,80,100,80,95
60,Poliwag,water,,"['Water Absorb', 'Damp', 'Swift Swim']",Tadpole Pokémon,0.6,12.4,50,1,40,50,40,40,40,90
61,Poliwhirl,water,,"['Water Absorb', 'Damp', 'Swift Swim']",Tadpole Pokémon,1,20,50,1,65,65,65,50,50,90
62,Poliwrath,water,fighting,"['Water Absorb', 'Damp', 'Swift Swim']",Tadpole Pokémon,1.3,54,50,1,90,95,95,70,90,70
63,Abra,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",Psi Pokémon,0.9,19.5,75.4,1,25,20,15,105,55,90
64,Kadabra,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",Psi Pokémon,1.3,56.5,75.4,1,40,35,30,120,70,105
65,Alakazam,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",Psi Pokémon,1.5,48,75.4,1,55,50,65,175,105,150
66,Machop,fighting,,"['Guts', 'No Guard', 'Steadfast']",Superpower Pokémon,0.8,19.5,75.4,1,70,80,50,35,35,35
67,Machoke,fighting,,"['Guts', 'No Guard', 'Steadfast']",Superpower Pokémon,1.5,70.5,75.4,1,80,100,70,50,60,45
68,Machamp,fighting,,"['Guts', 'No Guard', 'Steadfast']",Superpower Pokémon,1.6,130,75.4,1,90,130,80,65,85,55
69,Bellsprout,grass,poison,"['Chlorophyll', 'Gluttony']",Flower Pokémon,0.7,4,50,1,50,75,35,70,30,40
70,Weepinbell,grass,poison,"['Chlorophyll', 'Gluttony']",Flycatcher Pokémon,1,6.4,50,1,65,90,50,85,45,55
71,Victreebel,grass,poison,"['Chlorophyll', 'Gluttony']",Flycatcher Pokémon,1.7,15.5,50,1,80,105,65,100,70,70
72,Tentacool,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",Jellyfish Pokémon,0.9,45.5,50,1,40,40,35,50,100,70
73,Tentacruel,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",Jellyfish Pokémon,1.6,55,50,1,80,70,65,80,120,100
74,Geodude,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Rock Pokémon,,,50,1,40,80,100,30,30,20
75,Graveler,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Rock Pokémon,,,50,1,55,95,115,45,45,35
76,Golem,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Megaton Pokémon,,,50,1,80,120,130,55,65,45
77,Ponyta,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",Fire Horse Pokémon,1,30,50,1,50,85,55,65,65,90
78,Rapidash,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",Fire Horse Pokémon,1.7,95,50,1,65,100,70,80,80,105
79,Slowpoke,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",Dopey Pokémon,1.2,36,50,1,90,65,65,40,40,15
80,Slowbro,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",Hermit Crab Pokémon,1.6,78.5,50,1,95,75,180,130,80,30
81,Magnemite,electric,steel,"['Magnet Pull', 'Sturdy', 'Analytic']",Magnet Pokémon,0.3,6,,1,25,35,70,95,55,45
82,Magneton,electric,steel,"['Magnet Pull', 'Sturdy', 'Analytic']",Magnet Pokémon,1,60,,1,50,60,95,120,70,70
83,Farfetch'd,normal,flying,"['Keen Eye', 'Inner Focus', 'Defiant']",Wild Duck Pokémon,0.8,15,50,1,52,90,55,58,62,60
84,Doduo,normal,flying,"['Run Away', 'Early Bird', 'Tangled Feet']",Twin Bird Pokémon,1.4,39.2,50,1,35,85,45,35,35,75
85,Dodrio,normal,flying,"['Run Away', 'Early Bird', 'Tangled Feet']",Triple Bird Pokémon,1.8,85.2,50,1,60,110,70,60,60,110
86,Seel,water,,"['Thick Fat', 'Hydration', 'Ice Body']",Sea Lion Pokémon,1.1,90,50,1,65,45,55,45,70,45
87,Dewgong,water,ice,"['Thick Fat', 'Hydration', 'Ice Body']",Sea Lion Pokémon,1.7,120,50,1,90,70,80,70,95,70
88,Grimer,poison,poison,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",Sludge Pokémon,,,50,1,80,80,50,40,50,25
89,Muk,poison,poison,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",Sludge Pokémon,,,50,1,105,105,75,65,100,50
90,Shellder,water,,"['Shell Armor', 'Skill Link', 'Overcoat']",Bivalve Pokémon,0.3,4,50,1,30,65,100,45,25,40
91,Cloyster,water,ice,"['Shell Armor', 'Skill Link', 'Overcoat']",Bivalve Pokémon,1.5,132.5,50,1,50,95,180,85,45,70
92,Gastly,ghost,poison,['Levitate'],Gas Pokémon,1.3,0.1,50,1,30,35,30,100,35,80
93,Haunter,ghost,poison,['Levitate'],Gas Pokémon,1.6,0.1,50,1,45,50,45,115,55,95
94,Gengar,ghost,poison,['Cursed Body'],Shadow Pokémon,1.5,40.5,50,1,60,65,80,170,95,130
95,Onix,rock,ground,"['Rock Head', 'Sturdy', 'Weak Armor']",Rock Snake Pokémon,8.8,210,50,1,35,45,160,30,45,70
96,Drowzee,psychic,,"['Insomnia', 'Forewarn', 'Inner Focus']",Hypnosis Pokémon,1,32.4,50,1,60,48,45,43,90,42
97,Hypno,psychic,,"['Insomnia', 'Forewarn', 'Inner Focus']",Hypnosis Pokémon,1.6,75.6,50,1,85,73,70,73,115,67
98,Krabby,water,,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",River Crab Pokémon,0.4,6.5,50,1,30,105,90,25,25,50
99,Kingler,water,,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",Pincer Pokémon,1.3,60,50,1,55,130,115,50,50,75
100,Voltorb,electric,,"['Soundproof', 'Static', 'Aftermath']",Ball Pokémon,0.5,10.4,,1,40,30,50,55,55,100
101,Electrode,electric,,"['Soundproof', 'Static', 'Aftermath']",Ball Pokémon,1.2,66.6,,1,60,50,70,80,80,150
102,Exeggcute,grass,psychic,"['Chlorophyll', 'Harvest']",Egg Pokémon,0.4,2.5,50,1,60,40,80,60,45,40
103,Exeggutor,grass,psychic,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",Coconut Pokémon,,,50,1,95,105,85,125,75,45
104,Cubone,ground,,"['Rock Head', 'Lightningrod', 'Battle Armor']",Lonely Pokémon,0.4,6.5,50,1,50,50,95,40,50,35
105,Marowak,ground,fire,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",Bone Keeper Pokémon,,,50,1,60,80,110,50,80,45
106,Hitmonlee,fighting,,"['Limber', 'Reckless', 'Unburden']",Kicking Pokémon,1.5,49.8,100,1,50,120,53,35,110,87
107,Hitmonchan,fighting,,"['Keen Eye', 'Iron Fist', 'Inner Focus']",Punching Pokémon,1.4,50.2,100,1,50,105,79,35,110,76
108,Lickitung,normal,,"['Own Tempo', 'Oblivious', 'Cloud Nine']",Licking Pokémon,1.2,65.5,50,1,90,55,75,60,75,30
109,Koffing,poison,,['Levitate'],Poison Gas Pokémon,0.6,1,50,1,40,65,95,60,45,35
110,Weezing,poison,,['Levitate'],Poison Gas Pokémon,1.2,9.5,50,1,65,90,120,85,70,60
111,Rhyhorn,ground,rock,"['Lightningrod', 'Rock Head', 'Reckless']",Spikes Pokémon,1,115,50,1,80,85,95,30,30,25
112,Rhydon,ground,rock,"['Lightningrod', 'Rock Head', 'Reckless']",Drill Pokémon,1.9,120,50,1,105,130,120,45,45,40
113,Chansey,normal,,"['Natural Cure', 'Serene Grace', 'Healer']",Egg Pokémon,1.1,34.6,0,1,250,5,5,35,105,50
114,Tangela,grass,,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",Vine Pokémon,1,35,50,1,65,55,115,100,40,60
115,Kangaskhan,normal,,"['Early Bird', 'Scrappy', 'Inner Focus']",Parent Pokémon,2.2,80,0,1,105,125,100,60,100,100
116,Horsea,water,,"['Swift Swim', 'Sniper', 'Damp']",Dragon Pokémon,0.4,8,50,1,30,40,70,70,25,60
117,Seadra,water,,"['Poison Point', 'Sniper', 'Damp']",Dragon Pokémon,1.2,25,50,1,55,65,95,95,45,85
118,Goldeen,water,,"['Swift Swim', 'Water Veil', 'Lightningrod']",Goldfish Pokémon,0.6,15,50,1,45,67,60,35,50,63
119,Seaking,water,,"['Swift Swim', 'Water Veil', 'Lightningrod']",Goldfish Pokémon,1.3,39,50,1,80,92,65,65,80,68
120,Staryu,water,,"['Illuminate', 'Natural Cure', 'Analytic']",Starshape Pokémon,0.8,34.5,,1,30,45,55,70,55,85
121,Starmie,water,psychic,"['Illuminate', 'Natural Cure', 'Analytic']",Mysterious Pokémon,1.1,80,,1,60,75,85,100,85,115
122,Mr. Mime,psychic,fairy,"['Soundproof', 'Filter', 'Technician']",Barrier Pokémon,1.3,54.5,50,1,40,45,65,100,120,90
123,Scyther,bug,flying,"['Swarm', 'Technician', 'Steadfast']",Mantis Pokémon,1.5,56,50,1,70,110,80,55,80,105
124,Jynx,ice,psychic,"['Oblivious', 'Forewarn', 'Dry Skin']",Humanshape Pokémon,1.4,40.6,0,1,65,50,35,115,95,95
125,Electabuzz,electric,,"['Static', 'Vital Spirit']",Electric Pokémon,1.1,30,75.4,1,65,83,57,95,85,105
126,Magmar,fire,,"['Flame Body', 'Vital Spirit']",Spitfire Pokémon,1.3,44.5,75.4,1,65,95,57,100,85,93
127,Pinsir,bug,,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",Stagbeetle Pokémon,1.5,55,50,1,65,155,120,65,90,105
128,Tauros,normal,,"['Intimidate', 'Anger Point', 'Sheer Force']",Wild Bull Pokémon,1.4,88.4,100,1,75,100,95,40,70,110
129,Magikarp,water,,"['Swift Swim', 'Rattled']",Fish Pokémon,0.9,10,50,1,20,10,55,15,20,80
130,Gyarados,water,flying,"['Intimidate', 'Moxie']",Atrocious Pokémon,6.5,235,50,1,95,155,109,70,130,81
131,Lapras,water,ice,"['Water Absorb', 'Shell Armor', 'Hydration']",Transport Pokémon,2.5,220,50,1,130,85,80,85,95,60
132,Ditto,normal,,"['Limber', 'Imposter']",Transform Pokémon,0.3,4,,1,48,48,48,48,48,48
133,Eevee,normal,,"['Run Away', 'Adaptability', 'Anticipation']",Evolution Pokémon,0.3,6.5,88.1,1,55,55,50,45,65,55
134,Vaporeon,water,,"['Water Absorb', 'Hydration']",Bubble Jet Pokémon,1,29,88.1,1,130,65,60,110,95,65
135,Jolteon,electric,,"['Volt Absorb', 'Quick Feet']",Lightning Pokémon,0.8,24.5,88.1,1,65,65,60,110,95,130
136,Flareon,fire,,"['Flash Fire', 'Guts']",Flame Pokémon,0.9,25,88.1,1,65,130,60,95,110,65
137,Porygon,normal,,"['Trace', 'Download', 'Analytic']",Virtual Pokémon,0.8,36.5,,1,65,60,70,85,75,40
138,Omanyte,rock,water,"['Swift Swim', 'Shell Armor', 'Weak Armor']",Spiral Pokémon,0.4,7.5,88.1,1,35,40,100,90,55,35
139,Omastar,rock,water,"['Swift Swim', 'Shell Armor', 'Weak Armor']",Spiral Pokémon,1,35,88.1,1,70,60,125,115,70,55
140,Kabuto,rock,water,"['Swift Swim', 'Battle Armor', 'Weak Armor']",Shellfish Pokémon,0.5,11.5,88.1,1,30,80,90,55,45,55
141,Kabutops,rock,water,"['Swift Swim', 'Battle Armor', 'Weak Armor']",Shellfish Pokémon,1.3,40.5,88.1,1,60,115,105,65,70,80
142,Aerodactyl,rock,flying,"['Rock Head', 'Pressure', 'Unnerve']",Fossil Pokémon,1.8,59,88.1,1,80,135,85,70,95,150
143,Snorlax,normal,,"['Immunity', 'Thick Fat', 'Gluttony']",Sleeping Pokémon,2.1,460,88.1,1,160,110,65,65,110,30
144,Articuno,ice,flying,"['Pressure', 'Snow Cloak']",Freeze Pokémon,1.7,55.4,,1,90,85,100,95,125,85
145,Zapdos,electric,flying,"['Pressure', 'Static']",Electric Pokémon,1.6,52.6,,1,90,90,85,125,90,100
146,Moltres,fire,flying,"['Pressure', 'Flame Body']",Flame Pokémon,2,60,,1,90,100,90,125,85,90
147,Dratini,dragon,,"['Shed Skin', 'Marvel Scale']",Dragon Pokémon,1.8,3.3,50,1,41,64,45,50,50,50
148,Dragonair,dragon,,"['Shed Skin', 'Marvel Scale']",Dragon Pokémon,4,16.5,50,1,61,84,65,70,70,70
149,Dragonite,dragon,flying,"['Inner Focus', 'Multiscale']",Dragon Pokémon,2.2,210,50,1,91,134,95,100,100,80
150,Mewtwo,psychic,,"['Pressure', 'Unnerve']",Genetic Pokémon,2,122,,1,106,150,70,194,120,140
151,Mew,psychic,,['Synchronize'],New Species Pokémon,0.4,4,,1,100,100,100,100,100,100
152,Chikorita,grass,,"['Overgrow', 'Leaf Guard']",Leaf Pokémon,0.9,6.4,88.1,2,45,49,65,49,65,45
153,Bayleef,grass,,"['Overgrow', 'Leaf Guard']",Leaf Pokémon,1.2,15.8,88.1,2,60,62,80,63,80,60
154,Meganium,grass,,"['Overgrow', 'Leaf Guard']",Herb Pokémon,1.8,100.5,88.1,2,80,82,100,83,100,80
155,Cyndaquil,fire,,"['Blaze', 'Flash Fire']",Fire Mouse Pokémon,0.5,7.9,88.1,2,39,52,43,60,50,65
156,Quilava,fire,,"['Blaze', 'Flash Fire']",Volcano Pokémon,0.9,19,88.1,2,58,64,58,80,65,80
157,Typhlosion,fire,,"['Blaze', 'Flash Fire']",Volcano Pokémon,1.7,79.5,88.1,2,78,84,78,109,85,100
158,Totodile,water,,"['Torrent', 'Sheer Force']",Big Jaw Pokémon,0.6,9.5,88.1,2,50,65,64,44,48,43
159,Croconaw,water,,"['Torrent', 'Sheer Force']",Big Jaw Pokémon,1.1,25,88.1,2,65,80,80,59,63,58
160,Feraligatr,water,,"['Torrent', 'Sheer Force']",Big Jaw Pokémon,2.3,88.8,88.1,2,85,105,100,79,83,78
161,Sentret,normal,,"['Run Away', 'Keen Eye', 'Frisk']",Scout Pokémon,0.8,6,50,2,35,46,34,35,45,20
162,Furret,normal,,"['Run Away', 'Keen Eye', 'Frisk']",Long Body Pokémon,1.8,32.5,50,2,85,76,64,45,55,90
163,Hoothoot,normal,flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",Owl Pokémon,0.7,21.2,50,2,60,30,30,36,56,50
164,Noctowl,normal,flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",Owl Pokémon,1.6,40.8,50,2,100,50,50,86,96,70
165,Ledyba,bug,flying,"['Swarm', 'Early Bird', 'Rattled']",Five Star Pokémon,1,10.8,50,2,40,20,30,40,80,55
166,Ledian,bug,flying,"['Swarm', 'Early Bird', 'Iron Fist']",Five Star Pokémon,1.4,35.6,50,2,55,35,50,55,110,85
167,Spinarak,bug,poison,"['Swarm', 'Insomnia', 'Sniper']",String Spit Pokémon,0.5,8.5,50,2,40,60,40,40,40,30
168,Ariados,bug,poison,"['Swarm', 'Insomnia', 'Sniper']",Long Leg Pokémon,1.1,33.5,50,2,70,90,70,60,70,40
169,Crobat,poison,flying,"['Inner Focus', 'Infiltrator']",Bat Pokémon,1.8,75,50,2,85,90,80,70,80,130
170,Chinchou,water,electric,"['Volt Absorb', 'Illuminate', 'Water Absorb']",Angler Pokémon,0.5,12,50,2,75,38,38,56,56,67
171,Lanturn,water,electric,"['Volt Absorb', 'Illuminate', 'Water Absorb']",Light Pokémon,1.2,22.5,50,2,125,58,58,76,76,67
172,Pichu,electric,,"['Static', 'Lightningrod']",Tiny Mouse Pokémon,0.3,2,50,2,20,40,15,35,35,60
173,Cleffa,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",Star Shape Pokémon,0.3,3,24.6,2,50,25,28,45,55,15
174,Igglybuff,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",Balloon Pokémon,0.3,1,24.6,2,90,30,15,40,20,15
175,Togepi,fairy,,"['Hustle', 'Serene Grace', 'Super Luck']",Spike Ball Pokémon,0.3,1.5,88.1,2,35,20,65,40,65,20
176,Togetic,fairy,flying,"['Hustle', 'Serene Grace', 'Super Luck']",Happiness Pokémon,0.6,3.2,88.1,2,55,40,85,80,105,40
177,Natu,psychic,flying,"['Synchronize', 'Early Bird', 'Magic Bounce']",Little Bird Pokémon,0.2,2,50,2,40,50,45,70,45,70
178,Xatu,psychic,flying,"['Synchronize', 'Early Bird', 'Magic Bounce']",Mystic Pokémon,1.5,15,50,2,65,75,70,95,70,95
179,Mareep,electric,,"['Static', 'Plus']",Wool Pokémon,0.6,7.8,50,2,55,40,40,65,45,35
180,Flaaffy,electric,,"['Static', 'Plus']",Wool Pokémon,0.8,13.3,50,2,70,55,55,80,60,45
181,Ampharos,electric,,"['Static', 'Plus']",Light Pokémon,1.4,61.5,50,2,90,95,105,165,110,45
182,Bellossom,grass,,"['Chlorophyll', 'Healer']",Flower Pokémon,0.4,5.8,50,2,75,80,95,90,100,50
183,Marill,water,fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",Aquamouse Pokémon,0.4,8.5,50,2,70,20,50,20,50,40
184,Azumarill,water,fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",Aquarabbit Pokémon,0.8,28.5,50,2,100,50,80,60,80,50
185,Sudowoodo,rock,,"['Sturdy', 'Rock Head', 'Rattled']",Imitation Pokémon,1.2,38,50,2,70,100,115,30,65,30
186,Politoed,water,,"['Water Absorb', 'Damp', 'Drizzle']",Frog Pokémon,1.1,33.9,50,2,90,75,75,90,100,70
187,Hoppip,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",Cottonweed Pokémon,0.4,0.5,50,2,35,35,40,35,55,50
188,Skiploom,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",Cottonweed Pokémon,0.6,1,50,2,55,45,50,45,65,80
189,Jumpluff,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",Cottonweed Pokémon,0.8,3,50,2,75,55,70,55,95,110
190,Aipom,normal,,"['Run Away', 'Pickup', 'Skill Link']",Long Tail Pokémon,0.8,11.5,50,2,55,70,55,40,55,85
191,Sunkern,grass,,"['Chlorophyll', 'Solar Power', 'Early Bird']",Seed Pokémon,0.3,1.8,50,2,30,30,30,30,30,30
192,Sunflora,grass,,"['Chlorophyll', 'Solar Power', 'Early Bird']",Sun Pokémon,0.8,8.5,50,2,75,75,55,105,85,30
193,Yanma,bug,flying,"['Speed Boost', 'Compoundeyes', 'Frisk']",Clear Wing Pokémon,1.2,38,50,2,65,65,45,75,45,95
194,Wooper,water,ground,"['Damp', 'Water Absorb', 'Unaware']",Water Fish Pokémon,0.4,8.5,50,2,55,45,45,25,25,15
195,Quagsire,water,ground,"['Damp', 'Water Absorb', 'Unaware']",Water Fish Pokémon,1.4,75,50,2,95,85,85,65,65,35
196,Espeon,psychic,,"['Synchronize', 'Magic Bounce']",Sun Pokémon,0.9,26.5,88.1,2,65,65,60,130,95,110
197,Umbreon,dark,,"['Synchronize', 'Inner Focus']",Moonlight Pokémon,1,27,88.1,2,95,65,110,60,130,65
