abilities,attack,classfication,defense,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Poison Point', 'Rivalry', 'Hustle']",57,Poison Pin Pokémon,40,0.5,46,Nidoran♂,100.0,32,40,40,50,poison,,9.0,1,0
"['Poison Point', 'Rivalry', 'Hustle']",72,Poison Pin Pokémon,57,0.9,61,Nidorino,100.0,33,55,55,65,poison,,19.5,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']",102,Drill Pokémon,77,1.4,81,Nidoking,100.0,34,85,75,85,poison,ground,62.0,1,0
"['Cute Charm', 'Magic Guard', 'Friend Guard']",45,Fairy Pokémon,48,0.6,70,Clefairy,24.6,35,60,65,35,fairy,,7.5,1,0
"['Cute Charm', 'Magic Guard', 'Unaware']",70,Fairy Pokémon,73,1.3,95,Clefable,24.6,36,95,90,60,fairy,,40.0,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",41,Fox Pokémon,40,,38,Vulpix,24.6,37,50,65,65,fire,ice,,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",67,Fox Pokémon,75,,73,Ninetales,24.6,38,81,100,109,fire,ice,,1,0
"['Cute Charm', 'Competitive', 'Friend Guard']",45,Balloon Pokémon,20,0.5,115,Jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,1,0
"['Cute Charm', 'Competitive', 'Frisk']",70,Balloon Pokémon,45,1.0,140,Wigglytuff,24.6,40,85,50,45,normal,fairy,12.0,1,0
"['Inner Focus', 'Infiltrator']",45,Bat Pokémon,35,0.8,40,Zubat,50.0,41,30,40,55,poison,flying,7.5,1,0
"['Inner Focus', 'Infiltrator']",80,Bat Pokémon,70,1.6,75,Golbat,50.0,42,65,75,90,poison,flying,55.0,1,0
"['Chlorophyll', 'Run Away']",50,Weed Pokémon,55,0.5,45,Oddish,50.0,43,75,65,30,grass,poison,5.4,1,0
"['Chlorophyll', 'Stench']",65,Weed Pokémon,70,0.8,60,Gloom,50.0,44,85,75,40,grass,poison,8.6,1,0
"['Chlorophyll', 'Effect Spore']",80,Flower Pokémon,85,1.2,75,Vileplume,50.0,45,110,90,50,grass,poison,18.6,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",70,Mushroom Pokémon,55,0.3,35,Paras,50.0,46,45,55,25,bug,grass,5.4,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",95,Mushroom Pokémon,80,1.0,60,Parasect,50.0,47,60,80,30,bug,grass,29.5,1,0
"['Compoundeyes', 'Tinted Lens', 'Run Away']",55,Insect Pokémon,50,1.0,60,Venonat,50.0,48,40,55,45,bug,poison,30.0,1,0
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",65,Poison Moth Pokémon,60,1.5,70,Venomoth,50.0,49,90,75,90,bug,poison,12.5,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",55,Mole Pokémon,30,,10,Diglett,50.0,50,35,45,90,ground,ground,,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",100,Mole Pokémon,60,,35,Dugtrio,50.0,51,50,70,110,ground,ground,,1,0
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",35,Scratch Cat Pokémon,35,,40,Meowth,50.0,52,50,40,90,normal,dark,,1,0
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",60,Classy Cat Pokémon,60,,65,Persian,50.0,53,75,65,115,normal,dark,,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",52,Duck Pokémon,48,0.8,50,Psyduck,50.0,54,65,50,55,water,,19.6,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",82,Duck Pokémon,78,1.7,80,Golduck,50.0,55,95,80,85,water,,76.6,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']",80,Pig Monkey Pokémon,35,0.5,40,Mankey,50.0,56,35,45,70,fighting,,28.0,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']",105,Pig Monkey Pokémon,60,1.0,65,Primeape,50.0,57,60,70,95,fighting,,32.0,1,0
"['Intimidate', 'Flash Fire', 'Justified']",70,Puppy Pokémon,45,0.7,55,Growlithe,75.4,58,70,50,60,fire,,19.0,1,0
"['Intimidate', 'Flash Fire', 'Justified']",110,Legendary Pokémon,80,1.9,90,Arcanine,75.4,59,100,80,95,fire,,155.0,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",50,Tadpole Pokémon,40,0.6,40,Poliwag,50.0,60,40,40,90,water,,12.4,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",65,Tadpole Pokémon,65,1.0,65,Poliwhirl,50.0,61,50,50,90,water,,20.0,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",95,Tadpole Pokémon,95,1.3,90,Poliwrath,50.0,62,70,90,70,water,fighting,54.0,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",20,Psi Pokémon,15,0.9,25,Abra,75.4,63,105,55,90,psychic,,19.5,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",35,Psi Pokémon,30,1.3,40,Kadabra,75.4,64,120,70,105,psychic,,56.5,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",50,Psi Pokémon,65,1.5,55,Alakazam,75.4,65,175,105,150,psychic,,48.0,1,0
"['Guts', 'No Guard', 'Steadfast']",80,Superpower Pokémon,50,0.8,70,Machop,75.4,66,35,35,35,fighting,,19.5,1,0
"['Guts', 'No Guard', 'Steadfast']",100,Superpower Pokémon,70,1.5,80,Machoke,75.4,67,50,60,45,fighting,,70.5,1,0
"['Guts', 'No Guard', 'Steadfast']",130,Superpower Pokémon,80,1.6,90,Machamp,75.4,68,65,85,55,fighting,,130.0,1,0
"['Chlorophyll', 'Gluttony']",75,Flower Pokémon,35,0.7,50,Bellsprout,50.0,69,70,30,40,grass,poison,4.0,1,0
"['Chlorophyll', 'Gluttony']",90,Flycatcher Pokémon,50,1.0,65,Weepinbell,50.0,70,85,45,55,grass,poison,6.4,1,0
"['Chlorophyll', 'Gluttony']",105,Flycatcher Pokémon,65,1.7,80,Victreebel,50.0,71,100,70,70,grass,poison,15.5,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",40,Jellyfish Pokémon,35,0.9,40,Tentacool,50.0,72,50,100,70,water,poison,45.5,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",70,Jellyfish Pokémon,65,1.6,80,Tentacruel,50.0,73,80,120,100,water,poison,55.0,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",80,Rock Pokémon,100,,40,Geodude,50.0,74,30,30,20,rock,ground,,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",95,Rock Pokémon,115,,55,Graveler,50.0,75,45,45,35,rock,ground,,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",120,Megaton Pokémon,130,,80,Golem,50.0,76,55,65,45,rock,ground,,1,0
"['Run Away', 'Flash Fire', 'Flame Body']",85,Fire Horse Pokémon,55,1.0,50,Ponyta,50.0,77,65,65,90,fire,,30.0,1,0
"['Run Away', 'Flash Fire', 'Flame Body']",100,Fire Horse Pokémon,70,1.7,65,Rapidash,50.0,78,80,80,105,fire,,95.0,1,0
"['Oblivious', 'Own Tempo', 'Regenerator']",65,Dopey Pokémon,65,1.2,90,Slowpoke,50.0,79,40,40,15,water,psychic,36.0,1,0
"['Oblivious', 'Own Tempo', 'Regenerator']",75,Hermit Crab Pokémon,180,1.6,95,Slowbro,50.0,80,130,80,30,water,psychic,78.5,1,0
"['Magnet Pull', 'Sturdy', 'Analytic']",35,Magnet Pokémon,70,0.3,25,Magnemite,,81,95,55,45,electric,steel,6.0,1,0
"['Magnet Pull', 'Sturdy', 'Analytic']",60,Magnet Pokémon,95,1.0,50,Magneton,,82,120,70,70,electric,steel,60.0,1,0
"['Keen Eye', 'Inner Focus', 'Defiant']",90,Wild Duck Pokémon,55,0.8,52,Farfetch'd,50.0,83,58,62,60,normal,flying,15.0,1,0
"['Run Away', 'Early Bird', 'Tangled Feet']",85,Twin Bird Pokémon,45,1.4,35,Doduo,50.0,84,35,35,75,normal,flying,39.2,1,0
"['Run Away', 'Early Bird', 'Tangled Feet']",110,Triple Bird Pokémon,70,1.8,60,Dodrio,50.0,85,60,60,110,normal,flying,85.2,1,0
"['Thick Fat', 'Hydration', 'Ice Body']",45,Sea Lion Pokémon,55,1.1,65,Seel,50.0,86,45,70,45,water,,90.0,1,0
"['Thick Fat', 'Hydration', 'Ice Body']",70,Sea Lion Pokémon,80,1.7,90,Dewgong,50.0,87,70,95,70,water,ice,120.0,1,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",80,Sludge Pokémon,50,,80,Grimer,50.0,88,40,50,25,poison,poison,,1,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",105,Sludge Pokémon,75,,105,Muk,50.0,89,65,100,50,poison,poison,,1,0
"['Shell Armor', 'Skill Link', 'Overcoat']",65,Bivalve Pokémon,100,0.3,30,Shellder,50.0,90,45,25,40,water,,4.0,1,0
"['Shell Armor', 'Skill Link', 'Overcoat']",95,Bivalve Pokémon,180,1.5,50,Cloyster,50.0,91,85,45,70,water,ice,132.5,1,0
['Levitate'],35,Gas Pokémon,30,1.3,30,Gastly,50.0,92,100,35,80,ghost,poison,0.1,1,0
['Levitate'],50,Gas Pokémon,45,1.6,45,Haunter,50.0,93,115,55,95,ghost,poison,0.1,1,0
['Cursed Body'],65,Shadow Pokémon,80,1.5,60,Gengar,50.0,94,170,95,130,ghost,poison,40.5,1,0
"['Rock Head', 'Sturdy', 'Weak Armor']",45,Rock Snake Pokémon,160,8.8,35,Onix,50.0,95,30,45,70,rock,ground,210.0,1,0
"['Insomnia', 'Forewarn', 'Inner Focus']",48,Hypnosis Pokémon,45,1.0,60,Drowzee,50.0,96,43,90,42,psychic,,32.4,1,0
"['Insomnia', 'Forewarn', 'Inner Focus']",73,Hypnosis Pokémon,70,1.6,85,Hypno,50.0,97,73,115,67,psychic,,75.6,1,0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",105,River Crab Pokémon,90,0.4,30,Krabby,50.0,98,25,25,50,water,,6.5,1,0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",130,Pincer Pokémon,115,1.3,55,Kingler,50.0,99,50,50,75,water,,60.0,1,0
"['Soundproof', 'Static', 'Aftermath']",30,Ball Pokémon,50,0.5,40,Voltorb,,100,55,55,100,electric,,10.4,1,0
"['Soundproof', 'Static', 'Aftermath']",50,Ball Pokémon,70,1.2,60,Electrode,,101,80,80,150,electric,,66.6,1,0
"['Chlorophyll', 'Harvest']",40,Egg Pokémon,80,0.4,60,Exeggcute,50.0,102,60,45,40,grass,psychic,2.5,1,0
"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",105,Coconut Pokémon,85,,95,Exeggutor,50.0,103,125,75,45,grass,psychic,,1,0
"['Rock Head', 'Lightningrod', 'Battle Armor']",50,Lonely Pokémon,95,0.4,50,Cubone,50.0,104,40,50,35,ground,,6.5,1,0
"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",80,Bone Keeper Pokémon,110,,60,Marowak,50.0,105,50,80,45,ground,fire,,1,0
"['Limber', 'Reckless', 'Unburden']",120,Kicking Pokémon,53,1.5,50,Hitmonlee,100.0,106,35,110,87,fighting,,49.8,1,0
"['Keen Eye', 'Iron Fist', 'Inner Focus']",105,Punching Pokémon,79,1.4,50,Hitmonchan,100.0,107,35,110,76,fighting,,50.2,1,0
"['Own Tempo', 'Oblivious', 'Cloud Nine']",55,Licking Pokémon,75,1.2,90,Lickitung,50.0,108,60,75,30,normal,,65.5,1,0
['Levitate'],65,Poison Gas Pokémon,95,0.6,40,Koffing,50.0,109,60,45,35,poison,,1.0,1,0
['Levitate'],90,Poison Gas Pokémon,120,1.2,65,Weezing,50.0,110,85,70,60,poison,,9.5,1,0
"['Lightningrod', 'Rock Head', 'Reckless']",85,Spikes Pokémon,95,1.0,80,Rhyhorn,50.0,111,30,30,25,ground,rock,115.0,1,0
"['Lightningrod', 'Rock Head', 'Reckless']",130,Drill Pokémon,120,1.9,105,Rhydon,50.0,112,45,45,40,ground,rock,120.0,1,0
"['Natural Cure', 'Serene Grace', 'Healer']",5,Egg Pokémon,5,1.1,250,Chansey,0.0,113,35,105,50,normal,,34.6,1,0
"['Chlorophyll', 'Leaf Guard', 'Regenerator']",55,Vine Pokémon,115,1.0,65,Tangela,50.0,114,100,40,60,grass,,35.0,1,0
"['Early Bird', 'Scrappy', 'Inner Focus']",125,Parent Pokémon,100,2.2,105,Kangaskhan,0.0,115,60,100,100,normal,,80.0,1,0
"['Swift Swim', 'Sniper', 'Damp']",40,Dragon Pokémon,70,0.4,30,Horsea,50.0,116,70,25,60,water,,8.0,1,0
"['Poison Point', 'Sniper', 'Damp']",65,Dragon Pokémon,95,1.2,55,Seadra,50.0,117,95,45,85,water,,25.0,1,0
"['Swift Swim', 'Water Veil', 'Lightningrod']",67,Goldfish Pokémon,60,0.6,45,Goldeen,50.0,118,35,50,63,water,,15.0,1,0
"['Swift Swim', 'Water Veil', 'Lightningrod']",92,Goldfish Pokémon,65,1.3,80,Seaking,50.0,119,65,80,68,water,,39.0,1,0
"['Illuminate', 'Natural Cure', 'Analytic']",45,Starshape Pokémon,55,0.8,30,Staryu,,120,70,55,85,water,,34.5,1,0
"['Illuminate', 'Natural Cure', 'Analytic']",75,Mysterious Pokémon,85,1.1,60,Starmie,,121,100,85,115,water,psychic,80.0,1,0
"['Soundproof', 'Filter', 'Technician']",45,Barrier Pokémon,65,1.3,40,Mr. Mime,50.0,122,100,120,90,psychic,fairy,54.5,1,0
"['Swarm', 'Technician', 'Steadfast']",110,Mantis Pokémon,80,1.5,70,Scyther,50.0,123,55,80,105,bug,flying,56.0,1,0
"['Oblivious', 'Forewarn', 'Dry Skin']",50,Humanshape Pokémon,35,1.4,65,Jynx,0.0,124,115,95,95,ice,psychic,40.6,1,0
"['Static', 'Vital Spirit']",83,Electric Pokémon,57,1.1,65,Electabuzz,75.4,125,95,85,105,electric,,30.0,1,0
"['Flame Body', 'Vital Spirit']",95,Spitfire Pokémon,57,1.3,65,Magmar,75.4,126,100,85,93,fire,,44.5,1,0
"['Hyper Cutter', 'Mold Breaker', 'Moxie']",155,Stagbeetle Pokémon,120,1.5,65,Pinsir,50.0,127,65,90,105,bug,,55.0,1,0
"['Intimidate', 'Anger Point', 'Sheer Force']",100,Wild Bull Pokémon,95,1.4,75,Tauros,100.0,128,40,70,110,normal,,88.4,1,0
"['Swift Swim', 'Rattled']",10,Fish Pokémon,55,0.9,20,Magikarp,50.0,129,15,20,80,water,,10.0,1,0
"['Intimidate', 'Moxie']",155,Atrocious Pokémon,109,6.5,95,Gyarados,50.0,130,70,130,81,water,flying,235.0,1,0
"['Water Absorb', 'Shell Armor', 'Hydration']",85,Transport Pokémon,80,2.5,130,Lapras,50.0,131,85,95,60,water,ice,220.0,1,0
"['Limber', 'Imposter']",48,Transform Pokémon,48,0.3,48,Ditto,,132,48,48,48,normal,,4.0,1,0
"['Run Away', 'Adaptability', 'Anticipation']",55,Evolution Pokémon,50,0.3,55,Eevee,88.1,133,45,65,55,normal,,6.5,1,0
"['Water Absorb', 'Hydration']",65,Bubble Jet Pokémon,60,1.0,130,Vaporeon,88.1,134,110,95,65,water,,29.0,1,0
"['Volt Absorb', 'Quick Feet']",65,Lightning Pokémon,60,0.8,65,Jolteon,88.1,135,110,95,130,electric,,24.5,1,0
"['Flash Fire', 'Guts']",130,Flame Pokémon,60,0.9,65,Flareon,88.1,136,95,110,65,fire,,25.0,1,0
"['Trace', 'Download', 'Analytic']",60,Virtual Pokémon,70,0.8,65,Porygon,,137,85,75,40,normal,,36.5,1,0
"['Swift Swim', 'Shell Armor', 'Weak Armor']",40,Spiral Pokémon,100,0.4,35,Omanyte,88.1,138,90,55,35,rock,water,7.5,1,0
"['Swift Swim', 'Shell Armor', 'Weak Armor']",60,Spiral Pokémon,125,1.0,70,Omastar,88.1,139,115,70,55,rock,water,35.0,1,0
"['Swift Swim', 'Battle Armor', 'Weak Armor']",80,Shellfish Pokémon,90,0.5,30,Kabuto,88.1,140,55,45,55,rock,water,11.5,1,0
"['Swift Swim', 'Battle Armor', 'Weak Armor']",115,Shellfish Pokémon,105,1.3,60,Kabutops,88.1,141,65,70,80,rock,water,40.5,1,0
"['Rock Head', 'Pressure', 'Unnerve']",135,Fossil Pokémon,85,1.8,80,Aerodactyl,88.1,142,70,95,150,rock,flying,59.0,1,0
"['Immunity', 'Thick Fat', 'Gluttony']",110,Sleeping Pokémon,65,2.1,160,Snorlax,88.1,143,65,110,30,normal,,460.0,1,0
"['Pressure', 'Snow Cloak']",85,Freeze Pokémon,100,1.7,90,Articuno,,144,95,125,85,ice,flying,55.4,1,1
"['Pressure', 'Static']",90,Electric Pokémon,85,1.6,90,Zapdos,,145,125,90,100,electric,flying,52.6,1,1
"['Pressure', 'Flame Body']",100,Flame Pokémon,90,2.0,90,Moltres,,146,125,85,90,fire,flying,60.0,1,1
"['Shed Skin', 'Marvel Scale']",64,Dragon Pokémon,45,1.8,41,Dratini,50.0,147,50,50,50,dragon,,3.3,1,0
"['Shed Skin', 'Marvel Scale']",84,Dragon Pokémon,65,4.0,61,Dragonair,50.0,148,70,70,70,dragon,,16.5,1,0
"['Inner Focus', 'Multiscale']",134,Dragon Pokémon,95,2.2,91,Dragonite,50.0,149,100,100,80,dragon,flying,210.0,1,0
"['Pressure', 'Unnerve']",150,Genetic Pokémon,70,2.0,106,Mewtwo,,150,194,120,140,psychic,,122.0,1,1
['Synchronize'],100,New Species Pokémon,100,0.4,100,Mew,,151,100,100,100,psychic,,4.0,1,1
"['Overgrow', 'Leaf Guard']",49,Leaf Pokémon,65,0.9,45,Chikorita,88.1,152,49,65,45,grass,,6.4,2,0
"['Overgrow', 'Leaf Guard']",62,Leaf Pokémon,80,1.2,60,Bayleef,88.1,153,63,80,60,grass,,15.8,2,0
"['Overgrow', 'Leaf Guard']",82,Herb Pokémon,100,1.8,80,Meganium,88.1,154,83,100,80,grass,,100.5,2,0
"['Blaze', 'Flash Fire']",52,Fire Mouse Pokémon,43,0.5,39,Cyndaquil,88.1,155,60,50,65,fire,,7.9,2,0
"['Blaze', 'Flash Fire']",64,Volcano Pokémon,58,0.9,58,Quilava,88.1,156,80,65,80,fire,,19.0,2,0
"['Blaze', 'Flash Fire']",84,Volcano Pokémon,78,1.7,78,Typhlosion,88.1,157,109,85,100,fire,,79.5,2,0
"['Torrent', 'Sheer Force']",65,Big Jaw Pokémon,64,0.6,50,Totodile,88.1,158,44,48,43,water,,9.5,2,0
"['Torrent', 'Sheer Force']",80,Big Jaw Pokémon,80,1.1,65,Croconaw,88.1,159,59,63,58,water,,25.0,2,0
"['Torrent', 'Sheer Force']",105,Big Jaw Pokémon,100,2.3,85,Feraligatr,88.1,160,79,83,78,water,,88.8,2,0
"['Run Away', 'Keen Eye', 'Frisk']",46,Scout Pokémon,34,0.8,35,Sentret,50.0,161,35,45,20,normal,,6.0,2,0
"['Run Away', 'Keen Eye', 'Frisk']",76,Long Body Pokémon,64,1.8,85,Furret,50.0,162,45,55,90,normal,,32.5,2,0
"['Insomnia', 'Keen Eye', 'Tinted Lens']",30,Owl Pokémon,30,0.7,60,Hoothoot,50.0,163,36,56,50,normal,flying,21.2,2,0
"['Insomnia', 'Keen Eye', 'Tinted Lens']",50,Owl Pokémon,50,1.6,100,Noctowl,50.0,164,86,96,70,normal,flying,40.8,2,0
"['Swarm', 'Early Bird', 'Rattled']",20,Five Star Pokémon,30,1.0,40,Ledyba,50.0,165,40,80,55,bug,flying,10.8,2,0
"['Swarm', 'Early Bird', 'Iron Fist']",35,Five Star Pokémon,50,1.4,55,Ledian,50.0,166,55,110,85,bug,flying,35.6,2,0
"['Swarm', 'Insomnia', 'Sniper']",60,String Spit Pokémon,40,0.5,40,Spinarak,50.0,167,40,40,30,bug,poison,8.5,2,0
"['Swarm', 'Insomnia', 'Sniper']",90,Long Leg Pokémon,70,1.1,70,Ariados,50.0,168,60,70,40,bug,poison,33.5,2,0
"['Inner Focus', 'Infiltrator']",90,Bat Pokémon,80,1.8,85,Crobat,50.0,169,70,80,130,poison,flying,75.0,2,0
"['Volt Absorb', 'Illuminate', 'Water Absorb']",38,Angler Pokémon,38,0.5,75,Chinchou,50.0,170,56,56,67,water,electric,12.0,2,0
"['Volt Absorb', 'Illuminate', 'Water Absorb']",58,Light Pokémon,58,1.2,125,Lanturn,50.0,171,76,76,67,water,electric,22.5,2,0
"['Static', 'Lightningrod']",40,Tiny Mouse Pokémon,15,0.3,20,Pichu,50.0,172,35,35,60,electric,,2.0,2,0
"['Cute Charm', 'Magic Guard', 'Friend Guard']",25,Star Shape Pokémon,28,0.3,50,Cleffa,24.6,173,45,55,15,fairy,,3.0,2,0
"['Cute Charm', 'Competitive', 'Friend Guard']",30,Balloon Pokémon,15,0.3,90,Igglybuff,24.6,174,40,20,15,normal,fairy,1.0,2,0
"['Hustle', 'Serene Grace', 'Super Luck']",20,Spike Ball Pokémon,65,0.3,35,Togepi,88.1,175,40,65,20,fairy,,1.5,2,0
"['Hustle', 'Serene Grace', 'Super Luck']",40,Happiness Pokémon,85,0.6,55,Togetic,88.1,176,80,105,40,fairy,flying,3.2,2,0
"['Synchronize', 'Early Bird', 'Magic Bounce']",50,Little Bird Pokémon,45,0.2,40,Natu,50.0,177,70,45,70,psychic,flying,2.0,2,0
"['Synchronize', 'Early Bird', 'Magic Bounce']",75,Mystic Pokémon,70,1.5,65,Xatu,50.0,178,95,70,95,psychic,flying,15.0,2,0
"['Static', 'Plus']",40,Wool Pokémon,40,0.6,55,Mareep,50.0,179,65,45,35,electric,,7.8,2,0
"['Static', 'Plus']",55,Wool Pokémon,55,0.8,70,Flaaffy,50.0,180,80,60,45,electric,,13.3,2,0
"['Static', 'Plus']",95,Light Pokémon,105,1.4,90,Ampharos,50.0,181,165,110,45,electric,,61.5,2,0
"['Chlorophyll', 'Healer']",80,Flower Pokémon,95,0.4,75,Bellossom,50.0,182,90,100,50,grass,,5.8,2,0
"['Thick Fat', 'Huge Power', 'Sap Sipper']",20,Aquamouse Pokémon,50,0.4,70,Marill,50.0,183,20,50,40,water,fairy,8.5,2,0
"['Thick Fat', 'Huge Power', 'Sap Sipper']",50,Aquarabbit Pokémon,80,0.8,100,Azumarill,50.0,184,60,80,50,water,fairy,28.5,2,0
"['Sturdy', 'Rock Head', 'Rattled']",100,Imitation Pokémon,115,1.2,70,Sudowoodo,50.0,185,30,65,30,rock,,38.0,2,0
